# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
9.223035776505486e-06,823.6121796045497
9.939855056535127e-06,827.0180584676596
9.954736728406266e-06,826.7085446264455
1.0330143625423233e-05,825.6213826331648
1.0340967008104734e-05,823.7631830406963
1.0726978512032959e-05,821.5651059344293
1.0736360518397e-05,818.8154801660228
1.1132552893297497e-05,815.7553667200326
1.1138724359389833e-05,812.4675687405959
1.1547896497034706e-05,808.9497265847342
1.2410869748777929e-05,793.684758494421
1.2410639955711248e-05,789.6453546808083
1.2857540439154583e-05,785.6807409961453
1.2854612233406852e-05,781.6253794191623
1.2849299917414593e-05,777.4596700066595
1.3310867600083437e-05,773.8158624531508
1.3304578754525085e-05,769.853684701672
1.3779377464958686e-05,764.9379055281672
1.3771006256553248e-05,760.7852099114098
1.5275301299154624e-05,740.3701867762915
1.5264986429722266e-05,736.3851449979007
1.5252731113437727e-05,732.4009619876058
1.5793690007519976e-05,728.4248352651822
1.5779541287575674e-05,724.4136827122474
1.6338734472263192e-05,720.5361199763429
1.6325585490923485e-05,716.7407935801814
1.6311482768938595e-05,712.8722241571946
1.6887072341633002e-05,709.0748595261871
1.742266259800509e-05,690.4247933544171
1.8040013899101393e-05,686.7925635602011
1.802397888487703e-05,683.1672778588447
1.866175040235664e-05,679.6942484407106
1.864747625779442e-05,676.2026988365419
1.9308708222272205e-05,672.7549073978435
1.9294690199638848e-05,669.3917254414907
1.928067197121211e-05,666.0177628541326
2.2130856897729843e-05,643.4020469773868
2.2118937393289775e-05,640.4247871543528
2.2105660526161676e-05,637.4485743070276
2.209474417410263e-05,634.4592488530079
2.0564842633810927e-05,631.447363065656
2.130215039016878e-05,628.017099897457
2.286735241611937e-05,625.1667769604848
2.2057140079325447e-05,622.9924325478082
2.2049162904869843e-05,620.1117330550343
2.2844007689513702e-05,617.2309321433236
2.28393931375693e-05,614.5191532958553
2.2835310286352968e-05,611.8136113158267
2.3660471838191216e-05,609.1952522760974
2.203017312834359e-05,606.5868110184326
2.2028655773156267e-05,603.3789566242024
2.202514188068018e-05,600.8703176012422
2.2021159423095386e-05,598.3928045329297
2.2816035015449206e-05,596.1292067911644
2.280912191147387e-05,594.0094068262555
2.2803724412250355e-05,591.5453417513139
2.27992956365399e-05,589.2244766070257
2.3628484453152485e-05,586.8265282907362
2.3641541623551997e-05,584.670671888655
2.4503743070248052e-05,582.2889186525499
2.447385505142299e-05,580.4598681690316
2.4470660767128992e-05,578.4034441670938
2.440265174982159e-05,576.2355391231985
2.3506760873176688e-05,573.9209128448651
2.345212853960986e-05,571.324742433292
2.2585190693284203e-05,569.1545646357472
2.253505210139213e-05,567.0129973608263
2.3304969065759152e-05,564.9612507440838
2.325646644420444e-05,562.9605015901452
2.409820836068508e-05,561.0121679481879
2.409069544512153e-05,559.3859378273628
2.4084886441084163e-05,557.3777968534873
2.4061405504268306e-05,555.309168275624
2.4018679116078347e-05,553.4494079377176
2.3137236834776636e-05,551.4037538949914
2.394080682260649e-05,549.4097675703829
2.477850063852181e-05,547.4832071607691
2.6577364802033447e-05,545.3239611601056
2.654708553974523e-05,543.7605263176615
2.6518612117893972e-05,542.2544608571737
2.6494327711829757e-05,540.5093134446743
2.647041768667876e-05,538.7634381530127
2.5520890549154463e-05,537.0091596294706
2.549602387788949e-05,534.9841664295254
2.5471463297225806e-05,533.3702657141694
2.5447221240980934e-05,531.7583230036762
2.5423652246719773e-05,529.9222641510744
2.540307016507571e-05,528.7142803405518
2.538818268775636e-05,526.9758641680384
2.5376423989281864e-05,525.4505909097286
2.447481708852068e-05,523.9026939715559
2.4463021764650198e-05,522.3931274430934
2.5338203923541143e-05,521.0522136430118
2.5325730127663863e-05,519.9441324009756
2.531431457134997e-05,518.391180433237
2.5303110713846075e-05,517.0195732940633
2.5294919026908593e-05,515.1085532418823
2.5287005001869036e-05,513.9399832280646
2.6198270433037203e-05,512.5140446333571
2.6194876699864486e-05,511.0663900979577
2.6195582863549996e-05,509.6442635724951
2.619717144222018e-05,508.1613886892694
2.6197570005401728e-05,506.6568579939868
2.71523724044632e-05,505.1893310711409
2.6206262125101663e-05,504.034158634841
