# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
6.932373104539691e-06,845.8102393239999
4.52050838626073e-06,853.959753586
3.4222249689750353e-06,864.774232048
2.7940693122028522e-06,848.877375946
2.426419999160213e-06,873.8998152319998
2.149016646311091e-06,864.779340595
2.0124928502585592e-06,874.036110505
1.7342508820598674e-06,871.311528549
1.325465457187719e-06,884.5997438630002
1.1375486161315413e-06,860.631119956
1.0353355167123458e-06,869.616522512
9.764181833457968e-07,871.983783475
9.315182627519738e-07,895.847529325
8.992378763736295e-07,861.347350655
8.784025605099745e-07,873.546025935
8.894259838850571e-07,872.202899202
1.0144275061977407e-06,879.4348470780002
1.7861852638888115e-06,880.415685664
3.106834760186466e-06,880.332029741
2.6200899008625683e-06,879.279501545
2.2842687032475314e-06,875.181910978
2.84493759398908e-06,866.574420348
3.4141976956506997e-06,873.20144477
3.6600911211273863e-06,863.784901253
3.963210328043115e-06,869.512963397
4.14808291828671e-06,852.292315528
4.389820623860933e-06,857.8014355939999
4.593590089404133e-06,860.493195021
4.805182299224508e-06,843.460350951
4.969374240657146e-06,846.925595505
5.139409649490354e-06,847.057227207
5.313466714508453e-06,846.6847401780002
5.490707927678868e-06,846.380547279
5.673219828650606e-06,847.905451324
5.861006313245011e-06,833.184813178
5.989337764217182e-06,835.867477286
6.185908674483978e-06,836.090348749
6.322211128136356e-06,835.598398255
6.464103606487741e-06,835.0099922339999
6.675094956323057e-06,835.031602345
6.738990632624481e-06,834.851679462
6.874666010388053e-06,835.424569089
7.01521280611138e-06,836.344857562
7.083436028704188e-06,837.3411139
7.24817770202004e-06,839.669529363
7.341437178528521e-06,771.5583627410001
7.504191724874622e-06,754.886615953
7.66478529941173e-06,759.821266082
7.734630118701208e-06,762.0142736260001
7.867675504595329e-06,763.253068708
7.925394064212647e-06,763.3243856710001
8.046672031785368e-06,762.1082667019998
8.220209581215397e-06,760.018215085
8.402900106054663e-06,757.978377408
8.246659986792487e-06,755.222110983
8.234549669821945e-06,754.555239946
8.360983797049928e-06,753.482509739
8.553458220558725e-06,751.1995427510001
8.560774500408198e-06,748.476200822
8.796349068643047e-06,744.27434311
9.100963833261555e-06,741.9707894139999
8.987546119848725e-06,740.885323525
9.149191628365784e-06,738.471617245
9.360948209738604e-06,733.674773758
9.407438357090122e-06,730.096874904
9.438148429486253e-06,728.344738499
9.577851484964414e-06,726.1177017639999
9.740941594607255e-06,723.9396651210001
9.779535787237858e-06,721.861034913
9.81783993921334e-06,719.786800142
9.891771671634147e-06,717.452936843
9.876914871631985e-06,715.2883895760001
9.967019864367061e-06,713.0777001639999
1.006098957238904e-05,710.9358181169998
1.0055218804522475e-05,708.826896015
1.015212483533191e-05,706.77075415
1.0247537462743522e-05,704.5758447239999
1.0342033113632208e-05,702.5133253060001
1.0438481887605597e-05,700.4468624489999
1.042969279111365e-05,698.45103733
1.0525553311652015e-05,696.3107965080002
1.0516265844277345e-05,694.27415341
1.0612542940609255e-05,692.317277385
1.0710302386806456e-05,690.2824178660001
1.0701750051883597e-05,688.306419873
1.0896588601757073e-05,683.892311676
1.0996955126375607e-05,682.322943879
1.087838206044041e-05,680.321669502
1.0976893055515118e-05,678.642729343
1.1075863446196701e-05,676.842152061
1.1064619588802078e-05,675.0754154159999
1.1166083752153004e-05,673.2727264819999
1.1269928703101609e-05,671.635044566
1.1372583788528465e-05,669.865866729
1.1349275314257922e-05,668.118851621
1.1466838785833635e-05,666.332492954
1.1586128269681025e-05,664.577876252
1.1477167098235751e-05,662.788542099
1.1598487027108456e-05,660.8950668169999
1.1601727731952152e-05,659.06381022
1.172038763011305e-05,657.234732126
1.1859987434135928e-05,655.383508869
1.1863181231649631e-05,653.59428981
1.185740853476623e-05,651.8594487969999
1.1972481741226058e-05,650.077432779
1.2095203744332526e-05,648.247576123
1.2099936909941768e-05,646.467821802
1.2105010203752413e-05,644.589614545
1.210961899265691e-05,642.714550846
1.2232736620212553e-05,640.556165645
1.2359898201838632e-05,638.66048413
1.2241835982078989e-05,636.629513977
1.2366259761357467e-05,634.639443359
1.2492334154481515e-05,632.655824585
1.250096778582192e-05,630.6999410990001
1.2508585362306513e-05,629.000864399
1.2628613553906329e-05,627.204115687
1.263324898213217e-05,625.449962452
1.2638287133192047e-05,623.932903448
1.2643192880365265e-05,622.266093897
1.2770798544806897e-05,620.510258817
1.2775304514865869e-05,618.864404859
1.2904511886438063e-05,617.159564909
1.2908802573522147e-05,615.0077528
5.414008981323777e-06,827.9307311919998
3.854912353857061e-06,842.577430299
2.890740512533767e-06,842.575298149
2.475663083633577e-06,836.885242832
2.297963900076176e-06,851.876139596
2.206823423296314e-06,834.57302199
2.1429032114005083e-06,865.825825583
2.130400954518001e-06,868.319503896
2.1425178194896784e-06,872.665684616
2.206607238446905e-06,881.415643555
2.2704515861493667e-06,864.715652143
2.363094985190676e-06,880.892439375
2.4890003862257768e-06,868.267753419
2.6217464568807933e-06,882.897164286
2.7947077000310506e-06,873.202396143
2.9786881974860227e-06,884.165111639
3.2111690818242747e-06,877.1416786980002
4.468995209286185e-06,873.246159301
4.803436855504902e-06,876.1526091960001
5.219787157593113e-06,865.3792299989999
5.605295164861232e-06,868.626223113
6.085994051163474e-06,871.45506972
6.529375416452436e-06,856.9938835180002
6.92395031133886e-06,859.5367211089999
7.342379847354939e-06,859.135441583
7.779475163735355e-06,859.19656363
8.150495917944449e-06,863.7530794139999
8.535631320791274e-06,846.770300939
8.934055500668263e-06,847.3291867
9.344104259423424e-06,846.0326314519998
9.664454868523301e-06,845.031016995
9.993552079076264e-06,843.945944338
1.0327201063932295e-05,843.558957923
1.0671746797149014e-05,844.007195692
1.090409532981482e-05,845.942830675
1.1257539479130245e-05,850.079000774
1.1498136371403184e-05,796.5494193
1.174627782361202e-05,799.4053040289999
1.19984997170254e-05,800.3257389810001
1.2253428756175293e-05,800.131951866
1.264064147919416e-05,799.8029186639999
1.2761100656226547e-05,797.8785801
1.3021812800282713e-05,796.9024528169998
1.3283411839917646e-05,788.50008776
1.3532532832965494e-05,789.066144285
