time,x [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5]
0.25,0.0016130317169780165
0.251,0.0015921246465685915
0.252,0.0015519121273355756
0.253,0.0015836387690694976
0.254,0.001587942473011829
0.255,0.0016461235526355126
0.256,0.0016537243193792065
0.257,0.0015565895341582508
0.258,0.0013970949383194607
0.259,0.001140959749958571
0.26,0.0009123308871820259
0.261,0.0006708940928966581
0.262,0.000547298661499971
0.263,0.00036551036944617503
0.264,3.239103225296157e-05
0.265,1.2810710445119671e-05
0.266,9.525867323019912e-06
0.267,8.544802853016988e-06
0.268,8.42497228366467e-06
0.269,8.539046225759918e-06
0.27,8.395633386807783e-06
0.271,8.198742199728573e-06
0.272,7.7169775339239e-06
0.273,7.2566997732409015e-06
0.274,7.0680127296691575e-06
0.275,6.86635671442273e-06
0.276,6.6836230694723305e-06
0.277,6.484517850031599e-06
0.278,6.300323834107404e-06
0.279,6.1056393240293255e-06
0.28,5.9165338665900184e-06
0.281,5.745655052164858e-06
0.282,5.567005037398868e-06
0.283,5.586354026771368e-06
0.284,5.409548581760044e-06
0.285,5.236560517359311e-06
0.286,5.06960480924823e-06
0.287,5.0820422134415154e-06
0.288,4.919683025639328e-06
0.289,4.9312291194613735e-06
0.29,4.7750566934980365e-06
0.291,4.619020781981455e-06
0.292,4.629340482562865e-06
0.293,4.478231982549202e-06
0.294,4.485912873155202e-06
0.295,4.3390048379047396e-06
0.296,4.346807267440152e-06
0.297,4.205166858238162e-06
0.298,4.211241605495211e-06
0.299,4.217748446752395e-06
0.3,4.079475633791828e-06
0.301,4.085289795275902e-06
0.302,3.9513596042566565e-06
0.303,3.957360193801355e-06
0.304,3.961671279685351e-06
0.305,3.831259266893873e-06
0.306,3.836856611476434e-06
0.307,3.843321424904771e-06
0.308,3.848690156333273e-06
0.309,3.7206359550973115e-06
0.31,3.7257039176004133e-06
0.311,3.6022674090636893e-06
0.312,3.606837666886522e-06
0.313,3.6129095153533233e-06
0.314,3.6180685309160874e-06
0.315,3.6221041946593205e-06
0.316,3.5028654681461264e-06
0.317,3.507349303133179e-06
0.318,3.5134598069664794e-06
0.319,3.5182827758788743e-06
0.32,3.4017738977590396e-06
0.321,3.406460273816292e-06
0.322,3.4096760414936033e-06
0.323,3.415028094303791e-06
0.324,3.419990460303299e-06
0.325,3.307942918101261e-06
0.326,3.312012501647444e-06
0.327,3.3171953255540486e-06
0.328,3.320131679351538e-06
0.329,3.3260675382034937e-06
0.33,3.3303988666870947e-06
0.331,3.3349515447849427e-06
0.332,3.339899443405523e-06
0.333,3.344897583055188e-06
0.334,3.3488399887616197e-06
0.335,3.4741208981204423e-06
0.336,3.359395913923187e-06
0.337,3.364580603440292e-06
0.338,3.253550239365797e-06
0.339,3.259021363215745e-06
0.34,3.3820856245930566e-06
0.341,3.509131731173857e-06
0.342,3.5151697616445672e-06
0.343,3.3989605788633806e-06
0.344,3.4041783364005247e-06
0.345,3.40981837288211e-06
0.346,3.4147746183763295e-06
0.347,3.3025660559285283e-06
0.348,3.307739824143399e-06
0.349,3.313557211451472e-06
0.35,3.319238602197913e-06
0.351,3.3246977246274336e-06
0.352,3.3312964359663363e-06
0.353,3.3361169313180094e-06
0.354,3.3418128071258715e-06
0.355,3.347612730361242e-06
0.356,3.353207429780434e-06
0.357,3.359521607728135e-06
0.358,3.3654727603694504e-06
0.359,3.371526215393196e-06
0.36,3.3777194229746438e-06
0.361,3.383630177713625e-06
0.362,3.38967801122078e-06
0.363,3.517390246005875e-06
0.364,3.5234842737441454e-06
0.365,3.5288963241101494e-06
0.366,3.4121382548471625e-06
0.367,3.4168407607779897e-06
0.368,3.4227813556778427e-06
0.369,3.4298718582798412e-06
0.37,3.4352025049124988e-06
0.371,3.4412374680769853e-06
0.372,3.5693350677393807e-06
0.373,3.5751819049805182e-06
0.374,3.5814952397840375e-06
0.375,3.4613402111929207e-06
0.376,3.5927408773545043e-06
0.377,3.4717256207611043e-06
0.378,3.4757355020227397e-06
0.379,3.4807876048217034e-06
0.38,3.4846179330922383e-06
0.381,3.6146218960069367e-06
0.382,3.7496678567749968e-06
0.383,3.7556393337358984e-06
0.384,3.759821388023928e-06
0.385,3.7648085656415254e-06
0.386,3.7677969712053833e-06
0.387,3.772434859328051e-06
0.388,3.778784013210921e-06
0.389,3.7843300671258935e-06
0.39,3.7886966599351507e-06
0.391,3.7942728992296496e-06
0.392,3.667528849630751e-06
0.393,3.671365550851492e-06
0.394,3.6760043584208843e-06
0.395,3.6788023672988223e-06
0.396,3.683269909705187e-06
0.397,3.6876485853353323e-06
0.398,3.6903699864741255e-06
0.399,3.826737436914145e-06
0.4,4.110435713546047e-06
